name,photo,is_real,is_male,isgreaterthan10000fw,worked,ispornstar,rich,ismodel,longhair,is_robot,tineager,iscartoon,smart,veryold,isgood
Borat,Borat.png,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Donald Trump,Donald_Trump.png,1,1,1,1,0,1,0,0,0,0,0,0,1,0
Elon Musk,Elon_Musk.png,1,1,1,1,0,1,0,0,0,0,0,1,1,1
Eminem,Eminem.png,1,1,1,1,0,1,0,0,0,0,0,0,0,1
Francisco Lachowski,Francisco_Lachowski.png,1,1,1,1,0,1,1,0,0,0,0,0,0,1
Gabe Newell,Gabe_Newell.png,1,1,1,1,0,1,0,0,0,0,0,1,1,1
Homer,Homer.png,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Johnny Sins,Johnny_Sins.png,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Jordan Barrett,Jordan_Barrett.png,1,1,1,1,0,1,0,1,0,0,0,0,0,1
Luxury Girl,Luxury_Girl.png,1,0,1,0,1,1,0,1,0,0,0,0,0,1
Mellstroy,Mellstroy.png,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Mia Khalifa,Mia_Khalifa.png,1,0,1,0,1,1,0,1,0,0,0,0,0,1
Morty,Morty.png,0,1,0,0,0,0,0,0,0,1,1,1,0,1
Noir,Noir.png,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Rick,Rick.png,0,1,0,0,0,0,0,0,0,0,1,1,1,1
Spiderman,Spiderman.png,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Superman,Superman.png,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sweety Fox,Sweety_Fox.png,1,0,1,0,1,1,1,1,0,0,0,0,0,1
Venom,Venom.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0
You,You.png,1,1,0,0,1,0,0,0,0,1,0,0,0,1
You,You.png,1,0,0,0,1,0,0,0,0,1,0,0,0,1
